trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.4516792765828919, 'e': 0.9663899781345132}",20,0,-38.58444185422288,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.4485285620132129, 'e': 0.9650925008813303}",20,0,-101.72710380439364,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.4453998254328157, 'e': 0.9637708963658905}",20,9,-36.70913057565036,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
56,False,"{'a': 0.442292913532982, 'e': 0.962425197628238}",30,0,-173.1447030412831,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
57,False,"{'a': 0.4392076740744069, 'e': 0.9610554383107709}",25,0,-158.2894941702729,"{0: 14, 1: 2, 2: 4, 3: 4, 4: 1}",0
58,False,"{'a': 0.4361439558797398, 'e': 0.9596616526574011}",30,0,-115.50271263948481,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
59,False,"{'a': 0.43310160882617615, 'e': 0.9582438755126972}",20,0,-91.93212905821045,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
60,False,"{'a': 0.43008048383810144, 'e': 0.9568021423210139}",20,0,-29.657619436720886,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.4270804328797869, 'e': 0.955336489125606}",20,13,-24.006951340655608,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.4241013089481353, 'e': 0.9538469525677271}",30,0,-200.87941689569718,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
63,False,"{'a': 0.4211429660654779, 'e': 0.9523335698857134}",20,0,-94.83986985314162,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
64,False,"{'a': 0.4182052592724216, 'e': 0.9507963789140532}",20,4,-97.33254373340124,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
65,False,"{'a': 0.4152880446207456, 'e': 0.9492354180824408}",30,0,-151.62049140325,"{0: 19, 1: 6, 2: 2, 3: 0, 4: 3}",0
66,False,"{'a': 0.4123911791663484, 'e': 0.9476507264148157}",20,0,-86.42364144927478,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.409514520962243, 'e': 0.946042343528387}",20,0,-111.15046382807635,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
68,False,"{'a': 0.406657929051602, 'e': 0.944410309632643}",25,0,-43.12897603497035,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
69,False,"{'a': 0.40382126346085007, 'e': 0.9427546655283462}",20,0,-47.03273095616575,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.40100438519280585, 'e': 0.941075452606513}",25,0,-139.469108498286,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
71,False,"{'a': 0.39820715621987046, 'e': 0.9393727128473789}",20,0,-84.05185347484253,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
72,False,"{'a': 0.3954294394772646, 'e': 0.9376464888193493}",30,0,-113.88904859222146,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
73,False,"{'a': 0.3926710988563121, 'e': 0.9358968236779348}",25,0,-70.37948713150668,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
74,False,"{'a': 0.3899319991977706, 'e': 0.9341237611646731}",20,0,-96.9338766293132,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
